Frame Name;Identifier (hex);Period (ms);Size (Bytes);Frame Load (%); Frame Load FD(%); Latency (ms);4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW;;fixed routing
Connector number;;;;;;;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;8;;FD?
Connector FD number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max Frames Bridge;;;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
EVAP_285;?;100;8;0.2416;0.113;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;T;;;R;;;;;;;;R;;;;;;;;;;;;;;0
EVAP_286;?;1000;7;0.0224;0.01086;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;R;;;;;;;;R;;;;;;;;;;;;;;0
EVAP_287;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;R;;;;;;;;;;;;;;;;;;;;;;0
EVAP_288;?;3000;4;0.00570667;0.00318;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;R;;;;;;;;;;;;;;;;;;;;;;0
FRCAMERA_A3;?;10;8;2.416;1.13;0;;;;R;R;;;;;;;;;;;;;;;;;;;;;R;;;T;;;;;;;;;;;;;;;;;;;;;;;;0
FrCamera_ITS_A42;?;50;8;0.4832;0.226;0;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;T;;;;R;;;;;;R;;;R;;;;;;;;;;;0
FrCamera_296;?;20;8;1.208;0.565;0;;;;;R;;;;;;R;;;;;;;;;;;;;;;;;;T;;;;R;;;;;;R;;;;;;;;;;;;;;0
FrCamera_297;?;20;8;1.208;0.565;0;;;;;R;;;;;;R;;;;;;;;;;;;;;;;;;T;;;;;;;;;;R;;;;;;;;;;;;;;0
FrCamera_298;?;50;8;0.4832;0.226;0;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;0
FrCamera_299;?;50;8;0.4832;0.226;0;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;R;;;;;;;;;;;;;;0
FrCamera_300;?;50;8;0.4832;0.226;0;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;T;;;;R;;;R;;;R;;;;;;;;;;;;;;0
FrCamera_301;?;50;8;0.4832;0.226;0;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;T;;;;R;;;;;;R;;;;;;;;;;;;;;0
FrCamera_302;?;100;8;0.2416;0.113;0;;;;;R;;;;;;;;;;;;;;;;;;;R;;;;;T;;R;;R;;;R;;;R;;;;;;R;;;R;;;;;0
FrCamera_303;?;100;8;0.2416;0.113;0;;;;R;R;;;;R;;;;;;;;;;;;;;;;;R;;;T;;;;R;;;R;;;R;;;R;;;R;;;R;;;;;0
FrCamera_304;?;500;8;0.04832;0.0226;0;;;;;;;;;;;;;;R;R;;;;;;;;;;;;;;T;;;;R;;;R;;;R;;;;;;;;;;;;;;0
FrCamera_305;?;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;R;;;R;;;R;;;;;;;;;;;;;;0
HEVC_A5;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;T;;;;R;;;;;;;;;;;;;;R;;;;0
HEVC_eDCT_R1;?;10;8;2.416;1.13;0;;;;;;;;R;;;;;;;;R;;;;;;;;;;;;;;;T;;;R;;;;;;;;;;;;;R;;R;;;;0
HEVC_eDCT_R2;?;10;8;2.416;1.13;0;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;0
HEVC_A3;?;50;8;0.4832;0.226;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;R;;;T;;;R;;R;;;R;;;;;;;R;;;;;;;0
HEVC_324;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;R;;0
HEVC_325;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;R;;0
HEVC_326;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;R;;0
HEVC_327;?;10;2;1.36;0.866;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;;;;;;R;;;;;;;;;;;;;;0
HEVC_328;?;10;1;1.184;0.822;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;0
HEVC_329;?;100;8;0.2416;0.113;0;;;R;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;T;;;;;;;;R;;;;;;;;;;;;;;0
HEVC_330;?;100;8;0.2416;0.113;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;R;;R;;;R;;;;;;;R;;;R;;;;0
HEVC_331;?;100;8;0.2416;0.113;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;R;;R;;;R;;;;;;;R;R;;R;;;;0
HEVC_332;?;100;8;0.2416;0.113;0;;;;;;;;R;;;R;;;;;;;;;;;;R;;;;;R;;;T;;;R;;R;;;R;;;;;;;R;;;R;;;;0
HEVC_333;?;500;8;0.04832;0.0226;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;R;;;R;;;;;;;R;;;;R;;;0
HEVC_334;?;500;8;0.04832;0.0226;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;R;;R;;;R;;;;;;;R;;;;;;;0
HEVC_335;?;1000;8;0.02416;0.0113;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;R;;;;;;;R;;;;;;;0
HEVC_336;?;1000;8;0.02416;0.0113;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;R;;;;;;;R;;;;;;;0
HEVC_337;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;;;R;;;R;;;;;;;R;;;;;;;0
HEVC_338;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;;;R;;;R;;;;;;;R;;;;;;;0
HEVC_339;?;3000;4;0.00570667;0.00318;0;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;R;;R;;;R;;;;;;;R;;;;;;;0
HFM_A1;?;100;8;0.2416;0.113;0;;;;R;;;;;;;R;;;;;;;;;;;;;R;;;;;;;R;T;;;;R;;;R;;;;;;;R;;;;;;;0
HFM_362;?;100;5;0.1888;0.0998;0;;;;;;;;;;;R;;;;;;;;;;;;;;;R;R;;;;R;T;;;;;;;;;;;;;;;;;;;;;0
HFM_363;?;3000;1;0.00394667;0.00274;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;0
HUD_368;?;100;4;0.1712;0.0954;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;R;;;R;;;;;;;;;;;;;;0
HVAC_371;?;50;8;0.4832;0.226;0;;;;;;;;;;;R;;;;;;;;;;;;;R;;;;;;;R;;;T;;R;;;R;;;;;;;;;;;;;;0
HVAC_372;?;50;8;0.4832;0.226;0;;;;;;;;;;;R;;;;;;;;;;;;;R;;;;;;;R;;;T;;R;;;;;;;;;;;R;;;;;;0
HVAC_373;?;100;8;0.2416;0.113;0;;;;;;;R;;;;R;;;;;;;;;;;;;R;;;;;;;R;;;T;;R;;;;;;;;;;;;;;;;;0
HVAC_374;?;500;5;0.03776;0.01996;0;;;;;;;R;;;;R;;;;;;;;;;;;;R;;;;;;;R;;;T;;R;;;R;;;;;;;R;;;;;;;0
IDM_A1;?;10;6;2.064;1.042;0;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;T;;;;;;;;;;;;;;R;;;;0
IDM_A3;?;10;7;2.24;1.086;0;;;;R;;;R;;;R;;;;;;;;;;;;;;R;;;;;;;R;;;;T;;;;;;;;;;R;;;;R;;;;0
IDM_A5;?;10;7;2.24;1.086;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;R;;;;0
STRG_A1;?;10;7;2.24;1.086;0;R;R;R;R;R;;;;;R;;;;;;;;;;;;;;;;R;;;R;;;;;;T;R;;R;R;;;R;;;R;;R;R;R;;;;0
IDM_A4;?;20;5;0.944;0.499;0;;;;R;;;;;;R;;;;;;;;;;;;;;R;;;;;;;R;;;;T;;;;R;;;;;;;;;;;;;;0
IDM_385;?;3000;1;0.00394667;0.00274;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;R;;;;;;;;;;;;;;0
IVI_393;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;0
IVI_394;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;R;;;;;;;0
IVI_395;?;50;8;0.4832;0.226;0;;;;R;;R;;;R;;R;;;;;;;;;;;;;R;;;;;R;;R;;;R;;T;;;R;;;;;;;;;;R;;;;0
IVI_396;?;100;8;0.2416;0.113;0;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;0
IVI_397;?;100;8;0.2416;0.113;0;;;;;;;;;;R;R;;;;;;;;;R;;;;;;;;;;;R;R;;R;;T;;;R;;;;;;R;;;;R;;;;0
IVI_398;?;500;8;0.04832;0.0226;0;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;0
IVI_399;?;500;8;0.04832;0.0226;0;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;;;;;;;;;;;;;;;0
IVI_400;?;500;8;0.04832;0.0226;0;;;;;;;;;R;R;R;;;;;;;;;;;;;R;;;;;;;R;;;;;T;;;;;;;R;;;;;;R;;;;0
IVI_401;?;1000;8;0.02416;0.0113;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;R;;;;;T;;;;;;;;;;;;;;;;;0
IVI_402;?;1000;8;0.02416;0.0113;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;R;;;;R;;;;;;;;;;0
IVI_403;?;1000;8;0.02416;0.0113;0;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;;;;;R;;;;;;;;;;0
IVI_404;?;1000;8;0.02416;0.0113;0;;;;;R;;;;R;;R;;;;;;;;;;;;;;;R;;;R;;R;;;;;T;;;;;;;R;;R;R;;;R;;;;0
IVI_405;?;1000;8;0.02416;0.0113;0;;R;;;R;;R;;;;R;;;;;;;;;;;;;R;;;;;;;R;;;R;R;T;;;R;;;;R;;;;;R;R;;;;0
IVI_406;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;;;;;;;;;;;;;;;0
IVI_407;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;R;;;;;;;;;;;;;;0
IVI_408;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;;;;;;;;;;;;;;;0
IVI_409;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;R;R;;T;;;R;;;;;;;;;;;;;;0
IVI_410;?;3000;8;0.00805333;0.00376667;0;;;;R;;;;;;;R;;;;;;;;;R;;;;;;R;;;;;;;;;;T;;;R;;R;R;R;;R;R;;;;;;;0
IVI_411;?;3000;8;0.00805333;0.00376667;0;;;;R;;;;;;R;R;;;R;R;;;;;R;;;;R;;;;;R;;;;R;R;;T;;;;;R;R;;;R;;R;;;;;;0
IVI_412;?;3000;8;0.00805333;0.00376667;0;;;;R;;;;;R;;R;;;R;R;;;;;R;;;;;;;;;;;R;;R;R;;T;R;;R;;R;;R;;R;;;;;;;;0
IVI_413;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;0
MagicFolding_436;?;300;2;0.0453333;0.0288667;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;T;;R;;;;;;;;;;;;;;0
MBL_439;?;100;1;0.1184;0.0822;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;R;;;;;;;;R;;;;;;0
METER_A3;?;20;8;1.208;0.565;0;R;;R;R;;R;R;R;R;R;R;;;R;R;;;;R;;;;;R;;;;R;R;;R;R;R;R;R;R;;;T;R;;R;R;R;R;R;R;R;R;R;;;0
METER_443;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;R;;0
METER_444;?;100;8;0.2416;0.113;0;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;R;;;T;;;;;;;R;;;;;;;0
METER_445;?;100;8;0.2416;0.113;0;;;;;;;R;;;;R;;;;;;;;;;;;;R;;;;;;;R;R;;R;;R;;;T;;;;R;R;R;R;;;R;;;;0
METER_446;?;500;8;0.04832;0.0226;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;T;;;;;;;R;;;;;;;0
METER_447;?;500;8;0.04832;0.0226;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;R;;;R;;;T;;;;;;R;R;;;;;;;0
METER_448;?;3000;8;0.00805333;0.00376667;0;;;;R;;;;;;;R;;;;;;;;;;;;;R;;R;;;R;;R;;R;R;R;R;;;T;;;R;;;R;R;;;;;;;0
METER_449;?;3000;8;0.00805333;0.00376667;0;;;;R;;;;;;R;R;;;R;R;;;;;R;;;;R;;;;;R;;R;;R;;R;;;;T;;;R;;;R;;R;;R;;;;0
METER_450;?;0;4;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;R;;;;0
PBD_461;?;100;1;0.1184;0.0822;0;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;0
PSCU_464;?;100;3;0.1536;0.091;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;;;;;;;;;;0
PSCU_465;?;1000;1;0.01184;0.00822;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;T;;;;;;;;;;;;0
RADAR_A1;?;10;5;1.888;0.998;0;;;;R;;;R;R;;;;;;;;;;;;;;;;R;;;;;R;;R;;;;;;;;;;;T;;;;;;;R;;;;0
RADAR_470;?;100;4;0.1712;0.0954;0;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;R;;;T;;;R;;;;;;;;0
RADAR_471;?;1000;1;0.01184;0.00822;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;R;;;;;;R;;;T;;;;;;;;;;;0
SceneRecorder_476;?;500;8;0.04832;0.0226;0;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;T;;;;;;;;;;0
SceneRecorder_477;?;1000;8;0.02416;0.0113;0;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;T;;;;;;;;;;0
SceneRecorder_478;?;1000;1;0.01184;0.00822;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;T;;;;;;;;;;0
SCU_A2;?;10;4;1.712;0.954;0;;;;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;T;;;;;;;;;0
SONAR_A2;?;10;8;2.416;1.13;0;;;;R;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;R;;;;;;;;;;T;;;;;;;;0
SONAR_A11;?;20;8;1.208;0.565;0;;R;;R;;;R;R;;;;;;;;;;;;;;;;R;;R;;;;;R;;;;R;;;;;;;;;;T;;;;;;;;0
SONAR_488;?;40;8;0.604;0.2825;0;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;0
SONAR_489;?;40;8;0.604;0.2825;0;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;0
SONAR_490;?;40;8;0.604;0.2825;0;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
SONAR_491;?;40;8;0.604;0.2825;0;;;;R;;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
SONAR_492;?;100;8;0.2416;0.113;0;;;;R;R;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
SONAR_493;?;400;7;0.056;0.02715;0;;;;;;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
SONAR_494;?;500;8;0.04832;0.0226;0;;;;;;;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
SONAR_495;?;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
SONAR_496;?;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;T;;;;;;;;0
TCU_509;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;T;;;;;;;0
TCU_510;?;100;2;0.136;0.0866;0;;;;;;;;;R;;R;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;;T;;;;;;;0
USM_A1;?;20;8;1.208;0.565;0;R;;R;R;R;;R;R;R;R;R;;;R;R;;;;;;;;R;R;R;R;;;R;;R;R;R;R;R;R;;R;R;R;;R;R;R;R;R;T;R;R;R;R;;0
USM_515;?;10;1;1.184;0.822;0;;;;;;;;;;;R;R;;;;;;;;;;;;R;;;;;;;R;;;;;;;;R;;;;;;;;T;;;;;;0
USM_516;?;100;8;0.2416;0.113;0;R;;R;R;R;R;R;R;R;R;R;;;R;R;;R;;R;;;;R;R;R;R;;R;R;;R;R;;R;R;R;;R;R;R;;R;R;R;R;R;T;;R;;R;;0
USM_517;?;500;1;0.02368;0.01644;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;R;T;;;;;;0
VADA_523;?;100;1;0.1184;0.0822;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;R;T;;;;;0
VDC_A10;?;10;6;2.064;1.042;0;;;R;R;;;;R;;;;;;;;;;;;;;;;R;;;;;;;R;;;;R;;;;;;;R;;;R;;;;T;;;;0
VDC_A11;?;10;5;1.888;0.998;0;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;R;;;;R;;;;;;;;;;;;;;T;;;;0
VDC_A12;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;0
VDC_A2;?;10;8;2.416;1.13;0;;;;;;;R;R;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;;;;;;;;;;;T;;;;0
VDC_A4;?;10;8;2.416;1.13;0;R;R;R;R;;;R;R;;R;R;;;R;R;;;;R;;;;R;R;R;;;;R;;R;;;;R;R;;;;;;R;R;;R;R;;R;T;;;;0
VDC_A5;?;10;8;2.416;1.13;0;R;;;R;;;R;R;R;R;;;;R;R;;;;R;;;;;R;R;R;;;R;;R;;;;R;R;;;R;;;R;;;R;R;;R;T;;;;0
VDC_A6;?;10;8;2.416;1.13;0;R;R;;R;R;;R;;;R;;;;R;R;;;;;;;;;R;R;R;;;R;;R;;;;R;R;;R;R;;;R;R;;R;R;R;R;T;;;;0
VDC_A9;?;10;8;2.416;1.13;0;R;;R;R;R;R;R;R;R;R;R;;;R;R;;;;;R;;;R;R;R;R;R;R;R;;R;R;;R;R;R;R;R;R;R;R;R;R;;R;R;R;R;T;R;R;;0
EPKB_A1;?;20;7;1.12;0.543;0;;;;R;;;;;;R;;;;;;;;;;;;;;R;;;;;;;R;;;;R;R;;;R;;;R;;;R;;;;RT;;;;0
VDC_A1;?;20;8;1.208;0.565;0;;R;R;R;;;R;R;;;R;;;;;;;;;;;;;R;;;;;;;R;;;;;R;;;R;;;;;R;R;R;;;T;;;;0
VDC_A13;?;20;8;1.208;0.565;0;;R;;R;;;;;;;R;;;;;;;;;;;;R;R;;;;;;;;;;;R;;;;R;;;;;;;;;R;T;;;;0
VDC_A3;?;20;8;1.208;0.565;0;R;;;R;;;R;;;R;;;;R;R;;;;;;;;R;R;R;R;;;R;;R;;;;R;R;;;R;;;R;;;R;;;R;T;;;;0
VDC_A7;?;20;8;1.208;0.565;0;R;;;R;;;R;R;;R;R;;;;;;;;;;;;;R;R;;;;;;R;;;;;;;;;;;;;;R;;;;T;;;;0
VDC_539;?;100;8;0.2416;0.113;0;R;R;R;R;R;R;R;R;R;R;R;;;R;R;;;;R;R;;;R;R;R;R;;;R;;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;RT;R;R;;0
VDC_540;?;500;6;0.04128;0.02084;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;T;;;;0
VSP_557;?;500;1;0.02368;0.01644;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;T;;;0
GW_560;?;10;8;2.416;1.13;0;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;0
GW_561;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;T;;0
GW_562;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;T;;0
GW_563;?;10;8;2.416;1.13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;0
GW_564;?;500;2;0.0272;0.01732;0;;;;;;;;;;;R;;;;;;;;;;;;;R;;;;;;R;;;;;;R;;;;;;;;;;;;;;;T;;0
GW_565;?;3000;7;0.00746667;0.00362;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;T;;0
